TimeStep,Reward
226,0.3294818307242271
1415,0.29283548831904394
831,0.29283548831907347
1198,0.29283548831904394
723,0.29283548831907347
1713,0.29283548831904394
176,0.31103452144263977
734,0.29283548831907347
239,0.33124649552989455
52,0.33364721946839937
1302,0.29283548831904405
1199,0.29283548831904394
1590,0.29283548831904394
379,0.29283548831907347
1273,0.29283548831904394
984,0.29283548831907347
970,0.29283548831907347
1217,0.29283548831904405
335,0.29158148426470537
1878,0.29283548831904405
1856,0.29283548831904394
1013,0.29283548831907347
631,0.29283548831907347
1939,0.29283548831904405
997,0.29283548831907347
614,0.29283548831907347
1087,0.29283548831904394
1965,0.29283548831904394
942,0.29283548831907347
502,0.29283548831907347
1872,0.29283548831904405
1596,0.29283548831904394
927,0.2928354883190735
686,0.29283548831907347
306,0.2995329944642637
1249,0.3090463927618417
453,0.4236155955205929
288,0.35013973566406137
398,0.4054778217712229
812,0.3967479322267544
1707,0.30857796443972835
1653,0.3762132948660162
329,0.37861904598603613
607,0.31703152098434406
69,0.2971297524541031
170,0.3147130790261064
615,0.322852069945381
1743,0.36708067724258947
1367,0.3251038306157008
167,0.2896026726957885
33,0.2850673681163098
1615,0.3632816456055969
1545,0.32582303112069566
970,0.37428201948960377
1257,0.36954134520008514
1966,0.32675541327154234
214,0.3405514511679436
1870,0.3150241693233061
1745,0.3067601981119406
1465,0.39211664561229465
1588,0.30682898900227645
461,0.39366376928632874
218,0.3156659715194151
162,0.2933414397024597
390,0.42229636820666
452,0.3842116401898661
1609,0.3754979817731322
943,0.3762108713948559
1573,0.38152213154695375
1384,0.3948181920880136
558,0.31052908421821834
1943,0.39667335138686777
291,0.3663730155862174
1348,0.33053344031712467
1143,0.3303173447273373
1077,0.3663009241493478
173,0.29491424449393033
755,0.3921153196946522
1521,0.37404600718111736
1964,0.3219044983526756
1168,0.3255156262754668
1471,0.38412180522750916
374,0.3641474408560035
237,0.3223523965817042
1412,0.3067564479675107
820,0.3390580516333971
397,0.42985263981160277
1898,0.374412815810811
1071,0.3535041003774659
1798,0.39192079429761223
17,0.34040572710702455
568,0.3681305740800013
1308,0.3937130971647681
129,0.24907227884526617
1625,0.31399959756744683
1210,0.3224683094079977
1384,0.3948181920880136
880,0.36915598361773005
707,0.33504165521466656
1147,0.29283548831904405
851,0.29283548831907347
1004,0.29283548831907347
817,0.29283548831907347
1079,0.29283548831904405
785,0.2928354883190735
1466,0.29283548831904394
1577,0.29283548831904405
1221,0.29283548831904405
1342,0.29283548831904394
417,0.29283548831907347
338,0.29283548831907347
338,0.29283548831907347
1142,0.29283548831904394
1905,0.29283548831904394
1704,0.29283548831904405
552,0.29283548831907347
704,0.29283548831907347
658,0.29283548831907347
1665,0.29283548831904394
418,0.29283548831907347
1304,0.29283548831904394
1075,0.29283548831904405
1464,0.29283548831904405
978,0.29283548831907347
309,0.29283548831907347
957,0.29283548831907347
331,0.29283548831907347
1549,0.29283548831904405
1258,0.29283548831904394
1095,0.29283548831904394
983,0.29283548831907347
73,0.24591854262852153
963,0.29283548831907347
1322,0.29283548831904394
25,0.2020026081841001
947,0.29283548831907347
633,0.29283548831907347
196,0.29283548831906614
1042,0.29283548831904405
1198,0.29283548831904394
73,0.24591854262852153
662,0.29283548831907347
1260,0.29283548831904394
1982,0.29283548831904394
1174,0.29283548831904394
1144,0.29283548831904394
1573,0.29283548831904405
1300,0.29283548831904405
1817,0.29283548831904405
1053,0.29283548831904394
487,0.29283548831907347
1551,0.29283548831904405
415,0.29283548831907347
1339,0.29283548831904394
423,0.29283548831907347
773,0.29283548831907347
458,0.29283548831907347
1090,0.29283548831904405
1776,0.29283548831904405
362,0.29283548831907347
947,0.29283548831907347
683,0.29283548831907347
1012,0.29283548831907347
977,0.29283548831907347
323,0.29283548831907347
1235,0.29283548831904405
420,0.29283548831907347
331,0.29283548831907347
620,0.29283548831907347
1007,0.29283548831907347
1065,0.29283548831904405
1781,0.29283548831904394
557,0.2928354883190735
508,0.29283548831907347
1204,0.29283548831904394
206,0.22681702908265144
860,0.29283548831907347
1394,0.29283548831904394
309,0.29283548831907347
584,0.29283548831907347
435,0.29283548831907347
344,0.29283548831907347
759,0.29283548831907347
474,0.29283548831907347
1172,0.29283548831904394
1506,0.29283548831904405
1823,0.29283548831904405
1449,0.29283548831904394
1801,0.29283548831904405
685,0.29283548831907347
971,0.29283548831907347
321,0.29283548831907347
584,0.29283548831907347
1319,0.29283548831904405
1631,0.29283548831904394
479,0.29283548831907347
652,0.29283548831907347
1938,0.29283548831904405
1851,0.29283548831904394
126,0.26966787064101305
186,0.22320746640965006
1970,0.29283548831904394
563,0.29283548831907347
1682,0.29283548831904394
295,0.2924042550374214
441,0.29283548831907347
1575,0.29283548831904394
1051,0.29283548831904405
340,0.29283548831907347
766,0.29283548831907347
1058,0.29283548831904405
488,0.29283548831907347
1350,0.29283548831904405
705,0.29283548831907347
498,0.29283548831907347
924,0.29283548831907347
1347,0.29283548831904405
631,0.29283548831907347
1975,0.29283548831904405
1827,0.29283548831904405
358,0.29283548831907347
265,0.2780072692380625
1023,0.29283548831907347
1761,0.29283548831904394
549,0.29283548831907347
127,0.2666420238573196
803,0.29283548831907347
1164,0.28520260905093764
1887,0.295588690735198
748,0.2679702175929609
1295,0.2699065729790024
588,0.2930572351425872
