TimeStep,Desired_x,Desired_y,Desired_z,state_x,state_y,state_z,vel_x,vel_y,vel_z,ang_x,ang_y,ang_z,p,q,r
12,0.0,0.0,1.3,0.0,0.0,0.08083301886792357,0.0,0.0,0.12435849056603425,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,1.4000000000000001,0.0,0.0,0.09374716981131942,0.0,0.0,0.13392452830188273,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,-0.0,1.5,0.0,0.0,0.10761792452830007,0.0,0.0,0.1434905660377312,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.0,-0.0,1.6,0.0,0.0,0.12244528301886554,0.0,0.0,0.15305660377357966,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.0,-0.0,1.7000000000000002,0.0,0.0,0.13822924528301578,0.0,0.0,0.16262264150942812,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.0,0.0,1.8,0.0,0.0,0.1549698113207513,0.0,0.0,0.1721886792452766,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,1.9000000000000001,0.0,0.0,0.17266698113207093,0.0,0.0,0.18175471698112505,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,2.0,0.0,0.0,0.19132075471697627,0.0,0.0,0.19132075471697352,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-0.0,2.1,0.0,0.0,0.21093113207546596,0.0,0.0,0.20088679245282198,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.0,-0.0,2.2,0.0,0.0,0.23149811320754043,0.0,0.0,0.21045283018867045,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.0,-0.0,2.3000000000000003,0.0,0.0,0.2530216981132002,0.0,0.0,0.2200188679245189,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.0,0.0,2.4000000000000004,0.0,0.0,0.2755018867924438,0.0,0.0,0.22958490566036738,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.0,0.0,2.5,0.0,0.0,0.298938679245272,0.0,0.0,0.23915094339621584,0.0,0.0,0.0,0.0,0.0,0.0
