TimeStep,Reward
19,0.0639779921329672
20,0.011860008619094944
21,0.003015108258179146
22,0.0008618659992878732
23,0.00013098217254550097
24,1.9408640138415902e-05
25,2.0810204905512284e-06
26,2.035985575338335e-07
27,2.0411038277473335e-08
28,1.9868053772317365e-09
29,1.638623642431592e-10
30,1.1809588442193702e-11
31,7.995611690603507e-13
32,3.170271930088325e-14
33,1.8491194965269583e-15
34,7.800079069515439e-17
35,3.374207510076653e-18
36,1.3195522106006992e-19
37,2.97258026778138e-20
38,6.906904472024808e-21
39,1.7591594721575333e-21
40,6.427411436393544e-22
41,1.7418874416192458e-22
42,7.157733597445521e-23
43,1.6455616467928346e-23
44,5.921990543467667e-24
45,1.5291256662483132e-24
46,4.710640853948025e-25
47,1.5794658458477046e-25
48,3.6116225946528035e-26
49,1.1727834685529897e-26
50,4.631240105683294e-27
51,1.1976497897895437e-27
52,3.7272923191123737e-28
53,1.2965619813244141e-28
54,2.958104158797426e-29
55,1.074102396877115e-29
56,2.437980142751485e-30
57,8.048352004749988e-31
58,2.4451078144738292e-31
59,9.70166941902811e-32
60,2.4455908841139653e-32
61,6.538378503397565e-33
62,1.9046756171260897e-33
63,6.558206273933775e-34
64,2.4030747267664046e-34
65,5.133766676295319e-35
66,1.5582092790421573e-35
67,6.20351535516337e-36
68,1.520793495637403e-36
69,4.7493449436676776e-37
70,1.4602264963282538e-37
71,4.4386046001862156e-38
72,1.3757960419268566e-38
73,4.440047885925597e-39
74,1.1921658289413336e-39
75,3.924187313104475e-40
76,1.0821581394351442e-40
77,3.8536215016843753e-41
78,8.414608761532894e-42
79,3.3796052711788186e-42
80,9.287755810564675e-43
81,2.7609430117396188e-43
82,9.59786481121179e-44
83,3.034782795380808e-44
84,8.187494243126518e-45
85,2.137170773460112e-45
86,7.000644469717417e-46
87,1.9852780463537315e-46
88,7.776303932090377e-47
89,2.4198146265917766e-47
90,4.8619656775051455e-48
91,1.6689518103380458e-48
92,6.132772117079239e-49
93,1.3686832376943617e-49
94,4.509653024764493e-50
95,1.37301377080519e-50
96,3.6214200386597086e-51
97,1.2075467845038182e-51
98,4.524548388945628e-52
99,9.518472908963121e-53
100,4.0889981919898565e-53
101,9.609023827644596e-54
102,2.9672512565854536e-54
103,8.355710868037614e-55
104,2.749712145386502e-55
105,7.807182322547143e-56
106,3.1278380558996723e-56
107,7.272638733244022e-57
108,2.2761593179283995e-57
109,7.041645814604484e-58
110,2.0157160771918415e-58
111,6.143897502610747e-59
112,1.9045891419186425e-59
113,7.00012792629598e-60
114,1.4997985117891192e-60
115,4.570474823035632e-61
116,1.6225175607824247e-61
117,5.40880015452635e-62
118,1.4022314160857507e-62
119,3.760393115708711e-63
120,1.1804860117557753e-63
121,3.8738357226141454e-64
122,9.578931694498929e-65
123,3.206916003746231e-65
124,9.981149391182138e-66
125,3.7192034680955227e-66
126,7.892207959404103e-67
127,3.4061256323972116e-67
128,8.034667799021181e-68
129,2.366491891299639e-68
130,6.570791396318799e-69
131,2.657233934749611e-69
132,6.528772985392938e-70
133,1.976223996934039e-70
134,5.290288156062079e-71
135,1.7153656721949454e-71
136,6.579549068613779e-72
137,1.4980821736251794e-72
138,4.335355244649962e-73
139,1.6165584854032284e-73
140,4.0354090923487724e-74
141,1.295330786266933e-74
142,5.146179106828188e-75
143,1.200806920531413e-75
144,3.5070076308924065e-76
145,1.2840965145619663e-76
146,3.03948114668696e-77
147,9.917997722916743e-78
